old_url,new_wix_url,status,priority,notes
/,/,needs-rebuild,1-city,"Homepage exists on Wix with generic brand copy already; reconcile against migration/content/homepage.md rather than overwrite blind. See warranty (6yr vs 8yr) and contact-email inconsistencies flagged in that file."
/artificial-grass-cape-town.html,/artificial-grass-cape-town,needs-rebuild,1-city,"Content ready: migration/content/artificial-grass-cape-town.md"
/artificial-grass-johannesburg.html,/artificial-grass-johannesburg,needs-rebuild,1-city,"Content ready: migration/content/artificial-grass-johannesburg.md"
/contact.html,/contact,needs-rebuild,2-top-suburb,"Content ready: migration/content/contact.md. Rebuild as a native Wix Forms form (already installed); keep WhatsApp CTA primary."
/page-sandton.html,/artificial-grass-sandton,needs-rebuild,2-top-suburb,"Content ready: migration/content/artificial-grass-sandton.md"
/page-centurion.html,/artificial-grass-centurion,needs-rebuild,2-top-suburb,"Content ready: migration/content/artificial-grass-centurion.md"
/page-fourways.html,/artificial-grass-fourways,needs-rebuild,2-top-suburb,"Content ready: migration/content/artificial-grass-fourways.md"
/page-bryanston.html,/artificial-grass-bryanston,needs-rebuild,2-top-suburb,"Content ready: migration/content/artificial-grass-bryanston.md"
/page-pretoria-east.html,/artificial-grass-pretoria-east,needs-rebuild,2-top-suburb,"Content ready: migration/content/artificial-grass-pretoria-east.md"
/quote-calculator.html,/quote-calculator,needs-rebuild,2-top-suburb,"Content ready: migration/content/quote-calculator.md. NOT a simple copy port - interactive 4-step pricing wizard, needs Velo custom code."
/quote/,/quote-calculator,skip-duplicate,n/a,"Duplicate of quote-calculator.html sharing the same engine - do not rebuild separately, just 301 straight to /quote-calculator once that's live. See migration/content/quote.md"
/page-bedfordview.html,/artificial-grass-bedfordview,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-bedfordview.md"
/page-boksburg.html,/artificial-grass-boksburg,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-boksburg.md"
/page-edenvale.html,/artificial-grass-edenvale,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-edenvale.md"
/page-houghton.html,/artificial-grass-houghton,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-houghton.md"
/page-hyde-park.html,/artificial-grass-hyde-park,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-hyde-park.md"
/page-midrand.html,/artificial-grass-midrand,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-midrand.md"
/page-mooikloof.html,/artificial-grass-mooikloof,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-mooikloof.md"
/page-randburg.html,/artificial-grass-randburg,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-randburg.md"
/page-roodepoort.html,/artificial-grass-roodepoort,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-roodepoort.md"
/page-silver-lakes.html,/artificial-grass-silver-lakes,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-silver-lakes.md"
/page-steyn-city.html,/artificial-grass-steyn-city,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-steyn-city.md"
/page-waterfall-city.html,/artificial-grass-waterfall-city,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/artificial-grass-waterfall-city.md"
/primeturf-vs-easigrass.html,(none - do not republish),do-not-publish,n/a,"Stakeholder decision 2026-07-22: not worth republishing. Do not rebuild; redirect to homepage or remove the link/URL entirely rather than leaving it 404."
/blog/artificial-grass-cost-guide-south-africa.html,/blog/artificial-grass-cost-guide-south-africa,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/blog-artificial-grass-cost-guide-south-africa.md. Has Article+FAQPage schema on old page."
/blog/drought-proof-garden-cape-town.html,/blog/drought-proof-garden-cape-town,needs-rebuild,3-remaining-suburb,"Content ready: migration/content/blog-drought-proof-garden-cape-town.md. Has Article+FAQPage schema on old page."
/blog/,/blog,needs-rebuild,4-legal,"Content ready: migration/content/blog-index.md. Only 2 real posts exist; 4 cards on old page were unpublished 'coming soon' placeholders - do not port those."
/privacy-policy.html,/english-privacy-policy,redirect-ready,4-legal,"Target already live on Wix - just confirm content parity and configure the 301, no rebuild needed."
/terms-of-service.html,/terms-of-service,needs-rebuild,4-legal,"Content ready: migration/content/terms-of-service.md. Old page had <meta name=robots content='noindex, follow'> - not part of the ~40 lost-page recovery, just needed for legal completeness."
/wa.html,(none - replace with direct wa.me link),skip-utility,n/a,"WhatsApp click-to-chat utility page, not real content. Just use a direct https://wa.me/27768048868 link/button on Wix instead of rebuilding a page."
/indexMaster.html,(exclude),exclude,n/a,"Unlinked draft/master homepage variant, never in sitemap or robots - do not rebuild or redirect."
/project-plan.html,(exclude),exclude,n/a,"Internal project plan doc, robots-disallowed - do not rebuild or redirect."
/seo-dashboard.html,(exclude),exclude,n/a,"Internal SEO tool, robots-disallowed - do not rebuild or redirect."
/seo-engine.html,(exclude),exclude,n/a,"Internal SEO tool - do not rebuild or redirect."
/seo-report.html,(exclude),exclude,n/a,"Internal SEO audit doc - do not rebuild or redirect."
/tcn-dashboard.html,(exclude),exclude,n/a,"Internal vendor dashboard (The Connection Network side-project), robots-disallowed - do not rebuild or redirect."
/tcn-whatsapp-flow.html,(exclude),exclude,n/a,"Internal setup guide (The Connection Network) - do not rebuild or redirect."
/connection-network.html,(exclude),exclude,n/a,"Separate 'TCN' side-project landing page. Stakeholder decision 2026-07-22: excluded from this migration entirely."
/vendor-signup.html,(exclude),exclude,n/a,"Internal vendor sign-up (TCN side-project) - do not rebuild or redirect as part of this migration."
/partner-agreement.html,(exclude),exclude,n/a,"Internal partner agreement doc (TCN side-project) - do not rebuild or redirect as part of this migration."
/community/automation-hub.html,(exclude),exclude,n/a,"Internal community engine tool, robots-disallowed dir - do not rebuild or redirect."
/community/social-graphics-engine.html,(exclude),exclude,n/a,"Internal social graphics tool - do not rebuild or redirect."
/design/layout-map.html,(exclude),exclude,n/a,"Internal design doc, robots-disallowed dir - do not rebuild or redirect."
/primeturfaudit (1).html,(exclude),exclude,n/a,"Stray duplicate file (space + '(1)' in filename), never linked anywhere - do not rebuild or redirect."
/google2bbf502f984c3743.html,(exclude),exclude,n/a,"Google Search Console verification stub for the old domain ownership - superseded by re-verifying GSC ownership under Wix, see MIGRATION_PLAN.md."
/google57c2ac6f73edc94d.html,(exclude),exclude,n/a,"Google Search Console verification stub - see note above."
